transaction_id,transaction_date,customer_id,country,city,product,category,quantity,unit_price,payment_method,sales_rep,customer_type,status
TX02300,2026-04-29,CUST0041,Uganda,Mombasa,Wireless Mouse,Accessories,4,1707.95,Cash,Carol,Corporate,Completed
TX03772,2026-06-20,CUST0652,Uganda,Kisumu,Laptop Bag,Accessories,5,3393.86,Card,John,Corporate,Pending
TX00034,2026-06-25,CUST0759,Kenya,Kampala,Wireless Mouse,Accessories,1,1925.52,Card,Carol,SME,Pending
TX01245,2026-02-07,CUST0021,Tanzania,Arusha,Wireless Mouse,Accessories,1,1625.07,Card,George,SME,Pending
TX03051,2026-01-09,CUST0263,KENYA,Kigali,USB-C Hub,Accessories,2,6582.69,Card,George,SME,Pending
TX02241,2026-01-27,CUST0625,UGANDA,NAIROBI,External SSD,Storage,3,14811.69,Card,Faith,Corporate,Pending
TX04138,2026-01-11,CUST0433,Rwanda,Kampala,External SSD,Storage,1,15907.99,Card,Carol,Corporate,Completed
TX04079,2026-03-18,CUST1082,Tanzania,Arusha,External SSD,Storage,1,13974.34,Cash,George,Individual,completed
TX02441,2026-03-11,CUST0309,Rwanda,Kisumu,Headset,Accessories,2,5164.6,Cash,Brian,Individual,Completed
TX01913,2026-05-15,CUST0907,TANZANIA,Nairobi,Wireless Mouse,Accessories,3,1690.48,Cash,George,Corporate,Completed
TX04293,2026-03-20,CUST1192,KENYA,Kampala,USB-C Hub,Accessories,1,6638.18,Bank Transfer,Irene,SME,Completed
TX03979,2026-01-27,CUST0124,TANZANIA,Kampala,Keyboard,Accessories,2,2655.18,Bank Transfer,George,Individual,Completed
TX00498,2026-01-27,CUST0285,Rwanda,Kisumu,Monitor,Hardware,1,22316.78,Cash,Amina,SME,Completed
TX02700,2026-03-05,CUST0799,Uganda,NAIROBI,Wireless Mouse,Accessories,2,1979.52,Bank Transfer,Irene,Corporate,Pending
TX04990,2026-04-07,CUST1178,KENYA,Kisumu,Laptop Bag,Accessories,2,3714.89,Card,Irene,Individual,Cancelled
TX04518,2026-05-30,CUST0814,UGANDA,NAIROBI,External SSD,Storage,2,14671.02,Card,Irene,Corporate,Completed
TX01452,2026-06-03,CUST0549,Kenya,Dar es Salaam,Office Laptop,Hardware,1,99865.36,Cash,Faith,SME,completed
TX02991,2026-01-27,CUST0497,UGANDA,Arusha,Laptop Stand,Accessories,1,4844.68,Cash,John,Corporate,Completed
TX02944,2026-06-30,CUST0699,Uganda,Nairobi,Laptop Bag,Accessories,2,3466.7,Bank Transfer,Carol,Individual,Completed
TX00928,2026-01-22,CUST0891,Tanzania,Nairobi,Laptop Bag,Accessories,5,3374.34,Card,David,Individual,Cancelled
TX01324,2026-01-07,CUST1135,TANZANIA,Kigali,Wireless Mouse,Accessories,5,1761.28,Cash,David,Corporate,COMPLETED
TX04895,2026-02-09,CUST0581,UGANDA,Mombasa,USB-C Hub,Accessories,2,6076.66,Card,John,Individual,Pending
TX02100,2026-04-08,CUST0585,Uganda,Kampala,USB-C Hub,Accessories,2,6259.42,Card,Brian,Corporate,Completed
TX00732,2026-06-15,CUST0646,KENYA,Nairobi,Tablet,Hardware,1,46163.42,Card,Brian,SME,Completed
